Title,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscars_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Prime_Awards_won,Oscars_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won,Other_nominations,Other_wins
Andy Warhol: The Complete Picture,None.,0,0,0,0,0,0,0,0,0,0,0,0
5th Gear,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adventure Inc.,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
Anja,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
5 Guys; 5 Questions...,None.,0,0,0,0,0,0,0,0,0,0,0,0
Agio eihame,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aliki,None.,0,0,0,0,0,0,0,0,0,0,0,0
Coming Clean,None.,0,0,0,0,0,0,0,0,0,0,0,0
Time Crisis II,None.,0,0,0,0,0,0,0,0,0,0,0,0
After Upstairs Downstairs,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fame; Fashion and Photography: The Real Blow Up,None.,0,0,0,0,0,0,0,0,0,0,0,0
30 Seconds to Fame,None.,0,0,0,0,0,0,0,0,0,0,0,0
A medias,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Conversation with Roy Romer,None.,0,0,0,0,0,0,0,0,0,0,0,0
A-ha: Live at Vallhall - Homecoming,None.,0,0,0,0,0,0,0,0,0,0,0,0
Hostage,None.,0,0,0,0,0,0,0,0,0,0,0,0
Loaded Gun: Life and Death and Dickinson,None.,0,0,0,0,0,0,0,0,0,0,0,0
Adoption,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alive,None.,0,0,0,0,0,0,0,0,0,0,0,0
aHA!,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aliens Among Us,None.,0,0,0,0,0,0,0,0,0,0,0,0
Thicker Than Water,None.,0,0,0,0,0,0,0,0,0,0,0,0
Action Justice,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Birthday,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0,3,1
Miss America Pageant,None.,0,0,0,0,0,0,0,0,0,0,0,0
Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
Plan B,None.,0,0,0,0,0,0,0,0,0,0,0,0
Silent Night,4 nominations.,0,4,0,0,0,0,0,0,0,0,4,0
Tödliches Rendezvous - Die Spur führt nach Palma,None.,0,0,0,0,0,0,0,0,0,0,0,0
3-South,None.,0,0,0,0,0,0,0,0,0,0,0,0
Am Yisrael Live,None.,0,0,0,0,0,0,0,0,0,0,0,0
Memento Mori,4 wins.,4,0,0,0,0,0,0,0,0,0,0,4
The Wedding,1 win.,1,0,0,0,0,0,0,0,0,0,0,1
The Prophecy,None.,0,0,0,0,0,0,0,0,0,0,0,0
Así son ellas,None.,0,0,0,0,0,0,0,0,0,0,0,0
Astheneis kai odoiporoi,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Pequena Travessa,15 nominations.,0,15,0,0,0,0,0,0,0,0,15,0
The Roswell Crash: Startling New Evidence,None.,0,0,0,0,0,0,0,0,0,0,0,0
Alex Santana; négociateur,None.,0,0,0,0,0,0,0,0,0,0,0,0
Bedtime Stories,None.,0,0,0,0,0,0,0,0,0,0,0,0
Unprecedented: The 2000 Presidential Election,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
AlloCiné talkshow,None.,0,0,0,0,0,0,0,0,0,0,0,0
Almacén de campo,None.,0,0,0,0,0,0,0,0,0,0,0,0
16 dobles,None.,0,0,0,0,0,0,0,0,0,0,0,0
Ah kai na 'xeres,None.,0,0,0,0,0,0,0,0,0,0,0,0
Making the Connection: Untold Stories of 'The French Connection',None.,0,0,0,0,0,0,0,0,0,0,0,0
10 me 2,None.,0,0,0,0,0,0,0,0,0,0,0,0
ABS-CBN Headlines,None.,0,0,0,0,0,0,0,0,0,0,0,0
Antilogos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Béjart Into the Light,None.,0,0,0,0,0,0,0,0,0,0,0,0
Happy Birthday,2 wins.,2,0,0,0,0,0,0,0,0,0,0,2
Love Stories,None.,0,0,0,0,0,0,0,0,0,0,0,0
Opening Night,None.,0,0,0,0,0,0,0,0,0,0,0,0
Fathers and Sons,None.,0,0,0,0,0,0,0,0,0,0,0,0
15 Storeys High,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
20 Things to Do Before You're 30,None.,0,0,0,0,0,0,0,0,0,0,0,0
3001: A Sex Oddity,None.,0,0,0,0,0,0,0,0,0,0,0,0
Introducing B2K,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Land Worth Loving,None.,0,0,0,0,0,0,0,0,0,0,0,0
Cruce de caminos,None.,0,0,0,0,0,0,0,0,0,0,0,0
Looking for Bobby D,None.,0,0,0,0,0,0,0,0,0,0,0,0
It's My Life,None.,0,0,0,0,0,0,0,0,0,0,0,0
Phantom,None.,0,0,0,0,0,0,0,0,0,0,0,0
A calzón quitao,None.,0,0,0,0,0,0,0,0,0,0,0,0
Broken,None.,0,0,0,0,0,0,0,0,0,0,0,0
Donkey Town,None.,0,0,0,0,0,0,0,0,0,0,0,0
Annemie Hülchrath - Der Talk,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
The Making of 'Frailty',None.,0,0,0,0,0,0,0,0,0,0,0,0
Love Hurts,None.,0,0,0,0,0,0,0,0,0,0,0,0
Tea,None.,0,0,0,0,0,0,0,0,0,0,0,0
Superjoint Ritual: Live in Dallas; Texas,None.,0,0,0,0,0,0,0,0,0,0,0,0
100 minutes pour convaincre,None.,0,0,0,0,0,0,0,0,0,0,0,0
Aachi International,None.,0,0,0,0,0,0,0,0,0,0,0,0
$40 a Day,None.,0,0,0,0,0,0,0,0,0,0,0,0
25 - Das Magazin,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Keys,None.,0,0,0,0,0,0,0,0,0,0,0,0
Asmali konak,None.,0,0,0,0,0,0,0,0,0,0,0,0
atHome,None.,0,0,0,0,0,0,0,0,0,0,0,0
InuYasha the Movie 2: The Castle Beyond the Looking Glass,None.,0,0,0,0,0,0,0,0,0,0,0,0
Football's True Colours,None.,0,0,0,0,0,0,0,0,0,0,0,0
Kiss,None.,0,0,0,0,0,0,0,0,0,0,0,0
Depth Charge: Underwater Robot Challenge,None.,0,0,0,0,0,0,0,0,0,0,0,0
22 minutes chrono,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Place in France,None.,0,0,0,0,0,0,0,0,0,0,0,0
Outside Looking In: Transracial Adoption in America,None.,0,0,0,0,0,0,0,0,0,0,0,0
All Request Hour,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anton - min hemmelige ven II,None.,0,0,0,0,0,0,0,0,0,0,0,0
Anton - min hemmelige ven,None.,0,0,0,0,0,0,0,0,0,0,0,0
10 Play,None.,0,0,0,0,0,0,0,0,0,0,0,0
Close to Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
A tu lado,None.,0,0,0,0,0,0,0,0,0,0,0,0
Abierto al anochecer,None.,0,0,0,0,0,0,0,0,0,0,0,0
The Wedding Video,None.,0,0,0,0,0,0,0,0,0,0,0,0
Around the Horn,None.,0,0,0,0,0,0,0,0,0,0,0,0
Pride & Loyalty,None.,0,0,0,0,0,0,0,0,0,0,0,0
Slick City: The Adventures of Lela Devin,None.,0,0,0,0,0,0,0,0,0,0,0,0
Home,None.,0,0,0,0,0,0,0,0,0,0,0,0
100 mexicanos dijeron,None.,0,0,0,0,0,0,0,0,0,0,0,0
Abschnitt 40,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0,7,7
Renacer,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al descubierto,None.,0,0,0,0,0,0,0,0,0,0,0,0
Al rojo vivo con María Celeste,1 nomination.,0,1,0,0,0,0,0,0,0,0,1,0
A Very Modern Dictator: A Profile of Slobodan Milosevic,None.,0,0,0,0,0,0,0,0,0,0,0,0
A Ganar con Omar,None.,0,0,0,0,0,0,0,0,0,0,0,0
A plena luz,None.,0,0,0,0,0,0,0,0,0,0,0,0
De Colores,None.,0,0,0,0,0,0,0,0,0,0,0,0
Q,None.,0,0,0,0,0,0,0,0,0,0,0,0
